,headline,news_category,org
556,This YouTuber earns ₹8 crore: Nischa Shah's journey from investment banker to content creator ,NaN, Hindustan Times
557,"Stockology: In the coming week, Nifty will give a negative close ",NaN, Moneycontrol
558,"With Record Stock Rallies, India Threatens China's Top Spot In Emerging Market Equity Portfolios — Another Rival Is Catching Up Too ",NaN, Benzinga India
559,Jio Financial share price: Should you buy this Reliance group stock on Monday before Q1 results 2024? ,Stock Market News,Mint
560,"Bitcoin bottom closer as German government runs out of BTC to sell, ETFs see highest inflow in five weeks ",NaN, FXStreet
561,Buy or Exit — Angel One shares are down 42% from their peak; What should one do? ,NaN, CNBCTV18
562,"Weekend Wrap: From RVNL to ONGC, top market movers and news of week ",NaN, Mint
563,Softbank exits Paytm at loss of around USD 150 million ,NaN, The Economic Times
564,"Market gains for six consecutive weeks; IT, FMCG top contributors ",NaN, Moneycontrol
565,'India can be world’s 2nd largest economy in just 7 years & world's largest by...': RBI deputy governor makes big prediction ,NaN, The Times of India
566,"Quant Mutual Fund confirms search-and-seizure ops, says Sebi's data collection ""not part of regular... ",NaN, Moneycontrol
567,"If You Invested ₹10,000 In TCS In 2004 When It Listed, Here's How Much You'd Have Today ",NaN, Benzinga India
568,How India's Oil And Gas Exploration Offers A $100 Billion Opportunity By 2030 ,NaN, NDTV
569,"Sensex expiry day hit by tech glitch on record high day, brokers blame BSE ",NaN, The Economic Times
570,"Stocks in focus: Rajesh Palviya of Axis Securities recommends ONGC, Hercules Hoists, and Sequent Scientific today ",Stock Market News,Mint
571,"Taiwan, India threaten China’s top spot in EM equity portfolios ",NaN, The Economic Times
572,Multibagger Stock: Sonata Software advanced nearly 8000% in 11 years; should you buy now? ,Stock Market News,Mint
573,2 New Skoda SUVs Launching Soon: Diesel Coming Back! ,NaN, CarToq.com
574,"FII buying in June crosses Rs 15,000 crore. Will IT results attract more inflow? ",NaN, The Economic Times
575,No merger: Government looks to shift MTNL’s operations to BSNL ,NaN, The Times of India
576,Europe makes it clear: Twitter’s blue checkmark deceives users ,NaN, Softonic EN
577,"Gold Price Nears Rs 74,000 in India: Check 24 Carat Rates in Your City on July 13 ",NaN, News18
578,How India's Oil And Gas Exploration Offers A $100 Billion Opportunity By 2030 ,NaN, NDTV
579,Samson Mow Proposes 50K Bitcoin Buyback To German Lawmaker ,NaN, CoinGape
580,"Gold trades with bearish bias as US Dollar rebounds, eyes on US PPI data ",NaN, FXStreet
581,2 top stock recommendations from Rajesh Palviya for next week ,NaN, MSN
582,Nikhil Kamath deemed “sh*t marketing” of Ather Energy has Anurag Kashyap showing off his mango collection ,NaN, afaqs!
583,"Week Ahead: Q1 Results, Budget updates, global cues among key market triggers this week; Nifty eyes 25,000 ",Stock Market News,Mint
584,"OpenAI Whistleblowers Seek Probe Into ""Restrictive Non-Disclosures"": Report ",NaN, NDTV
585,"Nifty likely to maintain upward trajectory till Union Budget, bet on these 3 stock picks, says Jigar Patel ",NaN, Moneycontrol
586,"Infosys, Wipro to announce Q1 results next week: After TCS and HCL Tech, will other IT firms beat estimates? ",NaN, The Financial Express
587,"Tata Curvv & Curvv EV to launch on 7th August, will rival Citroen Basalt ",NaN, HT Auto
588,More bad news for Elon Musk after X user’s legal challenge to shadowban prevails ,NaN, TechCrunch
589,"Consumer Price Index (CPI) numbers for June 2024, based on a base year of 2012=100 ",NaN, Adda247
590,"DMart Q1 results: Net profit jumps 17.5% YoY to ₹774 crore, revenue up 18.6% ",NaN, Upstox
591,"Softbank exits Paytm in June quarter at loss of $150 million, offloads remaining 1.4% stake ",Stock Market News,Mint
592,HCL Technologies Q1 Results Live : profit rise by 20.46% YOY ,Company Business News,Mint
593,HDFC Bank customers take note! Scheduled downtime on July 13 for over 13 hours- check full list of bankin ,NaN, The Times of India
594,No merger: Government looks to shift MTNL’s operations to BSNL ,NaN, SHAHARBEEN TIMES
595,"Delhi court stops sale, circulation of book on Yes Bank founder Rana Kapoor - Bar & Bench ",NaN, Indian Legal News
596,Mahindra Thar 5 Door Leaks Ahead Of Launch - First Undisguised Photos ,NaN, RushLane
597,"🍳 Reliance wants to pull off a Decathlon, lower population-better economy? & more… ",NaN, Finshots
598,"Want to watch The Boys Season 4, Mirzapur 3, and other latest releases? Here are Jio, Airtel, Vodafone Id ",NaN, The Times of India
599,"Dividend Stocks: TCS, Nestle India, LIC, JSW Infra, among others, to trade ex-dividend next week; Full list here ",Stock Market News,Mint
600,Quant MF confirms reports of search and seizure ops for the first time ,NaN, Business Standard
601,"1:10 stock split by railway company: FIRST-EVER! 1232% return in 2 years - Record date, other details ",NaN, ET Now
602,World Bank's second $1.5 billion loan reflects confidence in India's green hydrogen policies ,Today News,Mint
603,"Nestle's packing goal shift reveals mass-scale plastic problem, infrastructure concerns remain: Report ",Company Business News,Mint
604,"Jio Financial Q1 Results FY 2024-2025 date, time: Mukesh Ambani’s company to announce quarterly earnings on THIS day ",NaN, ET Now
605,Officially 'destroyed' booze bottles surface in Gujarat jail ,NaN, The Times of India
606,Concurrent Gainers: These 8 Sensex stocks gained for 5 days in a row ,NaN, The Economic Times
607,Is Hamster Kombat a Complete SCAM? Here’s the Truth ,NaN, Coinpedia Fintech News
608,Competition Commission of India Antitrust Probe Finds Apple Abused Position in Apps Market ,NaN, Gadgets 360
609,These BSNL 365-day plans offer impressive benefits at affordable prices ,NaN, India TV News
610,View ,NaN,CNBCTV18
611,"Jio Financial Services share price strategy: BUY, SELL or HOLD stock? Mukesh Ambani's firm gets RBI nod for... ",NaN, ET Now
612,'Why would you tinker with it if it's not broken?': Economist on why the Fed may not cut rates in September ,NaN, CNBC
613,"Dividend Rs 24, Special Dividend Rs 23: Double delight! Ex-date next week ",NaN, ET Now
614,How TCS got 70% employees back to office by linking variable pay to attendance; others penalised monetari ,NaN, The Times of India
615,"Adani Group plans to expand ports biz in Vietnam for overseas trade, receives nod to develop greenfield project: Report ",Company Business News,Mint
616,"President of India sold 11,17,57,277 shares of this multibagger railway infra company: Bagged 2 orders worth Rs 271,05,07,122 from Ministry of Railways ",NaN, Dalal Street Investment Journal
617,"Top Stock Recommendations: Dharmesh Shah of ICICI Securities suggests buying BEL, and LTIMindtree on July 15 ",Stock Market News,Mint
618,"Tata Curvv Launch Date Announced - Coupe SUV Rivals Creta, Seltos ",NaN, RushLane
619,Quant Mutual Fund's AUM & NAV hits an all-time high for most schemes: Report ,Company Business News,Mint
620,Japans Softbank Divests Its Entire Stake In Paytm ,NaN, NDTV Profit
621,Mahindra Thar 5 Door Leaks Ahead Of Launch – First Undisguised Photos ,NaN, RushLane
622,HDFC Bank has this 'UPI transactions and Fastag' message for its customers ,NaN, The Times of India
623,"Q1 results this week: RIL, Paytm, Infosys, Jio Financial, Kotak Mahindra Bank, and YES Bank ",NaN, The Economic Times
624,OpenAI whistleblowers ask SEC to investigate alleged restrictive non-disclosure agreements ,Company Business News,Mint
625,New Royal Enfield Guerrilla 450 Arrives At Dealer For Service Training ,NaN, RushLane
626,"Domestic investors infuse $638 million in realty sector in April-June, up 5 times annually: Vestian ",NaN, Upstox
627,Bonus Issue: Dividend paying stock to distribute FREE shares to investors; July 16 record date ,NaN, ET Now
628,Mahindra five-door Thar leaked; debut on 15 August ,NaN, CarWale
629,"Tomato prices may ease in coming weeks on supplies from Andhra, Karnataka ",NaN, Upstox
630,Govt may hand over MTNL operations to BSNL; merger unlikely ,NaN, Upstox
631,Macrotech Developers Q1 sales up 20% at Rs 4K cr on strong housing demand ,NaN, Business Standard
632,BEL Q1 Results FY 2024-25 Date and Time: Multibagger defence stock! Quarterly earnings schedule ,NaN, ET Now
633,These 5 penny stocks surge over 20% in a week ,NaN, The Economic Times
634,"Sanstar IPO GMP, Price, Allotment, Profit Estimate 2024 ",NaN, IPO Central
635,"Q1 results this week: RIL, Paytm, Infosys, Jio Financial, Kotak Mahindra Bank, and YES Bank ",NaN, The Economic Times
636,"FPIs invest Rs 15,352 crore in equities in first two weeks of July ",NaN, Moneycontrol
637,Market capitalisation of 7 of top-10 most valued firms jump ₹1.72 lakh crore; TCS leads the pack ,Stock Market News,Mint
638,"IPOs next week: Four new public issues, one listing to hit primary market; check full list here ",Stock Market News,Mint
639,"Dalal Street Watch: Q1 earnings, Powell speech, ECB decision, China GDP top 10 key factors next week ",NaN, Moneycontrol
640,"MTNL on the brink of debt default, knocks on Govt door for funds ",NaN, The Indian Express
641,"TCS, CDSL and 56 other stocks set to issue dividends, bonuses or stock splits this week ",NaN, The Economic Times
642,DMart Q1 results: Net profit rises 17.5% to Rs 773.8 crore; revenue up 18.6% ,NaN, Moneycontrol
643,"NSE tightens collateral rules, more than 1,000 stocks including YES Bank, Adani Power to be impacted ",NaN, CNBCTV18
644,"Chartist Talks: IT & FMCG stocks to bolster Nifty, spotlight on top blue chips ",NaN, Moneycontrol
645,Over 15 MF schemes slashed holdings in 6 stocks in June '24. Do you own any? - Reducing Exposure ,NaN, The Economic Times
646,"BSNL offers 2GB daily for Rs 199 but is it best when compared with Jio, Airtel, Vi? Know here ",NaN, India TV News
647,"Github CEO: “If I were to join a software company in Bengaluru, the first thing I would….” ",NaN, The Times of India
648,Vistara CEO may be back in Singapore Airlines with AI brass set for key roles in merged entity ,NaN, The Times of India
649,Buy or sell: Sumeet Bagadia recommends three stocks to buy on Monday — July 15 ,NaN, Mint
650,Bitcoin Skyrockets 350% From Cycle Lows: Analyst Notes Historical Trend By U.Today ,NaN, Investing.com
651,Godrej Consumer Products develops indigenous mosquito repellent molecule ,NaN, Business Standard
652,Brigade Group launches new housing tower near Bengaluru airport; expects over ₹400 crore revenue ,NaN, Hindustan Times
653,20 High-Protein Vegetarian Dinners for Weight Loss ,NaN, EatingWell
654,"Govt likely to pay bond interest dues of MTNL, assuring no default ",NaN, Business Standard
655,"These equity mutual funds receive over Rs 3,000 crore inflows in June ",NaN, The Economic Times
656,Trade Setup for July 15: Nifty to see newer highs led by a rejuvenated IT pack? ,NaN, CNBCTV18
657,"Tata Curvv, Curvv EV debut on August 7: Here’s what we know ",NaN, The Financial Express
658,"Quant Mutual Fund's AUM reaches all-time high of Rs 94,000 crore ",NaN, The Economic Times
659,New Mahindra Thar Armada Images Leaked ,NaN, MotorOctane
660,"Market Trading Guide: Wipro, IRFC among 5 stock recommendations for Monday - Stock Ideas ",NaN, The Economic Times
661,"Mercedes-Benz mulls assembling more EVs in India to meet zero emission, carbon neutrality goals ",Company Business News,Mint
662,'Rs 400 Ke Liye BUY Karein...' - IREDA share price target after Q1 results FY 2024-25 ,NaN, ET Now
663,Avenue Supermarts adds 6 stores in Q1 FY25 and 2 more in July to a total of 373 stores ,NaN, Moneycontrol
664,"Doctor warns of health risks, premature death due to working long hours after Ola CEO backs 70-hour work week ",NaN, Pune Pulse
665,"Muharram Stock Market Holiday 2024: NSE, BSE to remain closed on this date ",NaN, Zee Business
666,MIB adds new provisions to draft broadcasting bill ,NaN, Hindustan Times
667,"Budget Picks: HAL, SBI among 39 stock ideas from Sharekhan - Budget Bets ",NaN, The Economic Times
668,"Reliance Jio Only has Two Annual Packs Now, Check Them Out ",NaN, TelecomTalk
669,India and Taiwan eyes China's MSCI emerging market index top spot: Report ,Stock Market News,Mint
670,How this Darjeeling-based software engineer is aiming to retire early with a ₹15-crore corpus ,NaN,Mint
671,Crorepati investors make up to 120% return with PMS funds ,NaN, The Economic Times
672,Indian Energy Exchange: What Should Investors Do ,NaN, BusinessLine
673,"Stock Split: 874% up in 3 yrs, Vijay Kedia portfolio share to trade ex-date soon - Record date on... ",NaN, ET Now
674,Price Volume breakout stocks: These stocks likely to be in focus tomorrow! ,NaN, Dalal Street Investment Journal
675,Here Are The 7 Most Affordable Electric Cars In India ,NaN, CarDekho
676,The Republic of ACs: India’s growing need for cool air ,NaN, The Indian Express
677,Thirst Trap: Water sustainability issues loom over India's booming data centre industry ,NaN, The Economic Times
678,"Zee Entertainment share price target 2024: Key decision on fundraise on July 16 - BUY, SELL or HOLD? ",NaN, ET Now
679,The $7.5 billion deal that Microsoft CEO Satya Nadella 'sealed' in 20 minutes ,NaN, The Times of India
680,"Rs 7,50,82,79,068.08 order bagged from RVNL & Rs 27,208 crore order book: Multibagger railways construction stock hit 52-week high on July 12 ",NaN, Dalal Street Investment Journal
681,"Amazon Prime Day Sale 2024 pre deals: Up to 42% off on ACs, washing machines, and refrigerators ",NaN,Mint
682,"Indian Navy’s Fleet Support Ships Take Shape, L&T Subcontracted by HSL To Built Two Ships ",NaN, Naval News
683,Ahead of Market: 10 things that will decide D-Street action on Monday ,NaN, The Economic Times
684,Buy or sell: — L&T to Indus Tower — Ganesh Dongre recommends three stocks for Monday ,Stock Market News,Mint
685,"Bitcoin hits $60,000 and other cryptocurrencies gain as Trump shooting boosts his re-election odds ",NaN, Hindustan Times
686,"Karnataka Consumer Court Orders Zomato To Pay ₹60,000 For Not Delivering Momos To Woman ",NaN, NDTV
687,"Massively reduced ordering from Swiggy, Zomato, says Capitalmind CEO: 'Platform charge is now Rs 6' ",NaN, Moneycontrol
688,"Q1 results: RIL, Infosys, Paytm, Jio Financial, Wipro among firms to declare earnings next week ",Company Business News,Mint
689,"Github CEO: “If I were to join a software company in Bengaluru, the first thing I would….” ",NaN, The Times of India
690,NITI Aayog Unveils GearShift Challenge to Accelerate Zero-Emission Truck Adoption in India ,NaN, PIB
691,"Taiwan, India threaten China’s top spot in emerging market equity portfolios ",NaN, Moneycontrol
692,Toyota Fortuner’s 3 Biggest Rivals COMING ,NaN, MotorOctane
693,"Amid demand slowdown, EVs plug into PE recharging infrastructure ",NaN, The Economic Times
694,Rs 30 DIVIDEND per share: Ex-date July 15; do you own? ,NaN, ET Now
695,The $7.5 billion deal that Microsoft CEO Satya Nadella 'sealed' in 20 minutes ,NaN, The Times of India
696,Kotak Mahindra Bank says it has to do more to leverage technology ,NaN, The Economic Times
697,"Work from office near pre-pandemic levels, will stop tracking soon: TCS ",NaN, Business Standard
698,Q1 preview: 2-wheeler volume growth set to drive profits for auto firms ,NaN, Business Standard
699,Centre to amend rules on mandatory declaration of product details on bulk retail packets ,NaN, The Hindu
700,"Instead of merger plan, operations of listed MTNL will be handed to BSNL, says report ",Company Business News,Mint
701,"Stocks to buy: Indian Bank and IRFC among top bets, here's why ",Stock Market News,Mint
702,"Stock Radar: HCL Tech, DMart, IREDA, Piramal Pharma, Lupin in focus on Monday ",NaN, Moneycontrol
703,"PC Jeweller to raise ₹2,705 crore via share warrants issue, plans to settle bank loans, working capital demand ",Company Business News,Mint
704,"Railway stocks hit record highs ahead of Budget; How to trade IRCON, IRCTC and RailTel on Monday ",NaN, The Economic Times
705,Four IPOs to open for subscription with one listing next week. Check details here ,NaN, Moneycontrol
706,"Zomato, Swiggy hike platform fee by 20% to Rs 6 per order ",NaN, The Economic Times
707,"Mercedes-Benz mulls assembling more EVs in India to meet zero emission, carbon neutrality goals ",Company Business News,Mint
708,Mahindra Thar 5-Door Spotted Undisguised; New Photos Reveal Front End Design ,NaN, carandbike
709,"TCS, CDSL and 56 other stocks set to issue dividends, bonuses or stock splits this week ",NaN, The Economic Times
710,"Yes Bank, HDFC Bank, Reliance Set To Report Earnings Next Week: Check Dates ",NaN, Benzinga India
711,"Up 9x in 2 years, analyst bullish on this railway PSU stock; check out target ",NaN, Zee Business
712,Royal Enfield Guerrilla 450 spotted before launch ,NaN, BikeWale
713,"BSNL Launches New Recharge Plan With 395 Days Validity: Check Price, Benefits, And More ",NaN, Times Now
714,"BSNL CMD Purwar denied extension, DoT officer Robert Ravi to get additional charge ",NaN, The Hindu
715,Reliance Capital Acquisition: Hinduja Group's Rs 4300 cr plan for takeover of Anil Ambani's company ,NaN, ET Now
716,New-gen Skoda Kodiaq continues testing undisguised ,NaN, CarWale
717,"Be bullish, just manage risks & desire; 5 midcap stocks for long term investors ",NaN, The Economic Times
718,Mukesh Ambani-owned company rallies over 100% in 6 weeks; Q1 FY2025 results on July 17 - Do you own? ,NaN, ET Now
719,"Tata Power, Dixon Technologies among 5 stocks with short buildup ",NaN, The Economic Times
720,"DMart share price gains more than 4% after Avenue Supermarts post in line Q1 results. Should you Buy, Sell or Hold? ",Stock Market News,Mint
721,"Stocks to watch, July 15: HCLTech, DMart, RVNL, IREDA, Zomato, Lupin ",NaN, Business Standard
722,"Q1 results today: Jio Financial, SpiceJet, HDFC Life among 36 companies announce earnings on Monday ",NaN, The Economic Times
723,Zomato founder-CEO Deepinder Goyal joins billionaire club ,NaN, Moneycontrol
724,Zomato and Swiggy have increased platform fee by 20% in these cities; how much customers will have to now ,NaN, The Times of India
725,IREDA share price hits lifetime high after Q1 results 2024. More steam left? ,NaN, Mint
726,"Stocks to buy: Britannia, Birlasoft, MRPL among 8 stocks that may rise 7-20% in the next 3-4 weeks, say analysts ",Stock Market News,Mint
727,"Q1 earnings, Powell speech, WPI Inflation and Union Budget updates – key market triggers this week ",NaN, Upstox
728,Unilever job cuts: HUL to assess parent's global initiatives for its biz ,NaN, Business Standard
729,Global Markets Ramp Up The 'Trump Trade' After Assassination Attempt ,NaN, NDTV
730,RVNL shares hit 52-week high on LoA for project worth Rs 132.6 cr from Central Railway ,NaN, Moneycontrol
731,"Big movers on D-Street: What should investors do with RailTel, Axis Bank and HCL Tech? ",NaN, The Economic Times
732,Trade setup for Monday: Top 15 things to know before the opening bell ,NaN, Moneycontrol
733,Tata Group wants continuity in top management of Air India post merger with Vistara ,NaN, The Economic Times
734,Google's Alphabet close to securing $23 billion deal for cybersecurity leader Wiz: Report ,Company Business News,Mint
735,"Stock market today: Bandhan Bank, RBL Bank, GNFC among 11 stocks in F&O ban list on July 15 ",Stock Market News,Mint
736,"TCS To Stop Tracking Number Of Work-From-Office Employees, Says HR Head ",NaN, NDTV Profit
737,"FPIs invest Rs 15,352 cr in Indian equities during first two weeks of July ",NaN, Business Standard
738,"HCLTech shares surge nearly 5% on encouraging Q1 result, FY25 growth guidance ",NaN, Upstox
739,GIFT Nifty signals a positive start for D-Street. Here's the trading setup for today's session ,NaN, The Economic Times
740,SBI hikes benchmark MCLR rate ,NaN, The Economic Times
741,"Chartist Talks: IT & FMCG stocks to bolster Nifty, spotlight on top blue chips ",NaN, Moneycontrol
742,Four IPOs to open for subscription with one listing next week. Check details here ,NaN, Moneycontrol
743,"Technical picks: Wipro, Coforge among 6 stocks that can rally up to 32% in short-term ",NaN, The Economic Times
744,Cement Stocks to BUY: Brokerages BULLISH on THESE stocks - List ,NaN, ET Now
745,Santissimo primed to come good in Mayor’s Trophy ,NaN, The Hindu
746,Kotak Mahindra Bank new CEO Ashok Vaswani takes home ₹1.61 crore pay for a quarter ,NaN, CNBCTV18
747,"Mutual fund houses garnered ₹14,370 crore via equity NFOs in June: Report ",NaN,Mint
748,Union Budget 2024: EV industry seeks incentives and tax rationalisation ,NaN, Hindustan Times
749,Gold and silver prices today on 14-07-2024: Check latest rates in your city ,Stock Market News,Mint
750,Morning Scan: All the big stories to get you started for the day ,NaN, Moneycontrol
751,GE T&D India wins ₹490 crore order from Power Grid ,NaN, CNBCTV18
752,"BSNL introduces new 395-day plan in various Indian states: Know price, benefits, and more ",NaN,Mint
753,"Asian stocks dip amid weak China GDP, Trump shooting aftermath ",NaN, Investing.com
754,Raymond Lifestyle onboards top guns ahead of likely IPO ,NaN, The Economic Times
755,Record inflows: Top 10 stocks that MFs shopped big for in past 6 months ,NaN, Moneycontrol
756,"Why consumer court asked Zomato to pay Rs 60,000 to Karnataka woman for not delivering Momos worth Rs 133 ",NaN, The Times of India
757,"BSNL CMD Purwar denied extension, DoT officer Robert Ravi to get additional charge ",NaN, The Hindu
758,Royal Enfield 250cc Motorcycle Gets Internal Go Ahead - Launch By 2026/27 ,NaN, RushLane
759,'Narayana Murthy Saar...': Bengaluru CA's '70 hours per week' plea after using Infosys-made ITR portal ,NaN, Moneycontrol
760,Bajaj Freedom 125 First Ride Review - The Dawn Of CNG Motorcycles ,NaN, RushLane
761,"NSE removed 1,010 stocks tightening margin trading collateral rules: Report ",Stock Market News,Mint
762,"IIFL Finance's gold loan book shrinks by over Rs 7,000 crore in Q1 ",NaN, Business Standard
763,"1:10 stock split by railway company: FIRST-EVER! 1232% return in 2 years - Record date, other details ",NaN, ET Now
764,Sebi to auction 19 properties of seven companies on August 12 ,NaN, Moneycontrol
765,Banking Central ,NaN,Moneycontrol
766,"Capitalmind CEO Reveals He ""Massively Reduced Ordering From Swiggy, Zomato"". Here's Why ",NaN, NDTV
767,Gold and silver prices today on 15-07-2024: Check latest rates in your city ,Stock Market News,Mint
768,Tata Curvv Petrol Spied With Alloy Design From Bharat Mobility Expo ,NaN, RushLane
769,"CMI, Jaiprakash Associates & others hit 52 week low today ;Check the full list here? ",Stock Market News,Mint
770,"HDFC Life Q1 Results Preview: APE to rise 22% YoY to Rs 2,910 crore, VNB growth seen at 17% ",NaN, The Economic Times
771,NIFTY50 and SENSEX open near record high levels ; HCL Tech top gainer post Q1 results ,NaN, Upstox
772,"Short Call: One TCS does not make a summer, bearings may shine, better days for specialty chem, Raymond,... ",NaN, Moneycontrol
773,Google’s Alphabet close to securing $23 billion deal for cybersecurity leader Wiz: Report ,NaN, Mint
774,Can this multibagger stock hit upper circuit of Rs 83.54 per share? President of India owns 71.72 per cent & LIC owns 1.86 per cent stake in this small-cap company! ,NaN, Dalal Street Investment Journal
775,Latest SBI loan interest rates July 2024: State Bank of India increases loan rates by up to 10 bps ,NaN, The Economic Times
776,‘Business as usual’: TCS to stop tracking work from office numbers soon ,NaN, The Hindu
777,"HCLTech Q1 verdict: Nomura upbeat, CLSA and Citi reserved ",NaN, Moneycontrol
778,"M&M, JSW in talks with Skoda Auto for potential partnership ",NaN, Moneycontrol
779,Banks Holidays: Banks will remain closed for four days in these cities. Check holiday list here ,NaN, informalnewz
780,Mcap of 7 of top-10 most valued firms jump Rs 1.72 trn; TCS steals show ,NaN, Business Standard
781,"Promoters Bought 1,86,66,000 Shares: Multibagger Aerospace & Defence Company Bags New Drone Order from Indian Army ",NaN, Dalal Street Investment Journal
782,"Thematic funds top equity MF investment rush, see record net inflows of over Rs 22,000 crore in June ",NaN, The Indian Express
783,Ratlam-based Kataria industries to float Rs 54.5 cr IPO on July 16 ,NaN, Business Standard
784,"Indian stock market: 7 key things that changed for market overnight - Gift Nifty, CPI inflation to Donald Trump Shooting ",Stock Market News,Mint
785,Mahindra Thar 5 door uncovered before August launch ,NaN, The Financial Express
786,"Mutual Funds Reduce Stake In IREDA, Nippon, SBI and Shriram MF Completely Exit The Stock ",NaN, Benzinga India
787,"Have Defence stocks run up too much too fast, is there enough armoury to sustain more gains? ",NaN, The Financial Express
788,IREDA share price hits lifetime high after Q1 results 2024. More steam left? ,Stock Market News,Mint
789,Deepinder Goyal becomes a billionaire as Zomato rallies; stock jumps 83% so far in 2024 ,Stock Market News,Mint
790,"Nifty 50 trends remain positive; Indian Bank, IRFC among top technical picks by Rupak De of LKP Securities ",Stock Market News,Mint
791,Brokerage Stay Bullish On DMart On In-Line Q1 Results ,NaN, Benzinga India
792,"Ambuja Cements gets its third upgrade in a week, this analyst sees bull case unfolding ",NaN, CNBCTV18
793,Stocks to buy or sell: IFCI to Railtel — Sumeet Bagadia recommends these five breakout stocks today ,Stock Market News,Mint
794,Tyre stocks on a roll as reports indicate MRF set to hike rates starting July 18 ,NaN, Moneycontrol
795,Foreign inflows pick pace ahead of Budget; Net buying over $2 billion in first 15 days of July on hopes of reform focus ,NaN, The Financial Express
796,'Ask Your Infosys Team To Work At Least 1 Hour': Bengaluru CA's Dig At Narayana Murthy Amid IT Portal Glitches ,NaN, Times Now
797,HCL Tech share: Experts give 'buy' tag after Q1 results 2024. Should you buy? ,Stock Market News,Mint
798,"CDSL, and Nestle among 16 stocks trading ex-dividend from Tuesday. Last chance to buy! ",NaN, The Economic Times
799,"Gold reverses modest intraday losses, bulls have the upper hand while above $2,400 ",NaN, FXStreet
800,"Food Deliveries To Get Costlier As Zomato, Swiggy Hike Platform Fee ",NaN, NDTV
801,"Wholesale price inflation rises to 3.36% in June, highest in 16 months ",NaN, The Hindu
802,"HDFC AMC’s Q1 net profit jumps 26% to Rs 604 crore, stock up 1.5% ",NaN, Moneycontrol
803,Hot stocks: Brokerage view on HCL Tech and Avenue Supermarts ,NaN, The Economic Times
804,IREDA shares may fall nearly 60% as this analyst says positives are priced in ,NaN, CNBCTV18
805,Zomato founder-CEO Deepinder Goyal joins billionaire club ,NaN, Moneycontrol
806,RVNL's Shares Jump 3% To Lifetime High After Bagging Order For ₹132.59 Cr Order ,NaN, Benzinga India
807,Stock picks of the week: 5 stocks with consistent score improvement and upside potential of up to 41% ,NaN, The Economic Times
808,"Ashok Leyland Bags Order For 2,104 Buses From MSRTC ",NaN, Benzinga India
809,"GAIL India, Oil & Natural Gas Corporation & others hit 52 week high today ; Do you own any? ",Stock Market News,Mint
810,Buy or sell: Vaishali Parekh recommends three stocks to buy today — July 15 ,Stock Market News,Mint
811,"Dollar higher, US treasury futures dip as markets assess likelihood of Trump's victory ",NaN, Moneycontrol
812,5-Door Mahindra Thar Armada Leaked Online Ahead Of Launch ,NaN, GaadiWaadi.com
813,"Q1 results today: Jio Financial Services, SpiceJet among 36 companies to announce earnings on July 15. Full list here ",Company Business News,Mint
814,"Aurobindo Pharma share price rises 6% to 52-week high. Board meeting on 18 July, 2024 to consider share buyback ",Stock Market News,Mint
815,"Bank of Maharashtra's Q1 net profit jumps 47% to Rs Rs 1,293.5 cr; stock up 6% ",NaN, Moneycontrol
816,"Stocks, Gold, Bitcoin: Where should you invest for the rest of 2024? ",NaN, Business Standard
817,"Zen Technologies shares in 5% upper circuit post launch of four defence products, AI-powered robots ",NaN, CNBCTV18
818,Defence stock Apollo Micro Systems hits upper circuit after getting order from Indian Army ,Stock Market News,Mint
819,"Zomato directed to pay ₹60,000 for failing to deliver customer's ₹133 order - Bar & Bench ",NaN, Indian Legal News
820,Google's Alphabet in talks to buy cybersecurity company Wiz for $23 billion: Report ,NaN, Moneycontrol
821,"Groww’s active investor base doubles in one year, Angel One gets closer to Zerodha ",NaN, Moneycontrol
822,UptimeAI raises $14 Mn in Series A round ,NaN, Entrackr
823,Toyota Innova Hycross Cheaper By Rs 3 Lakh ,NaN, MotorOctane
824,"7 mutual funds receive inflow of over Rs 10,000 crore in June ",NaN, The Economic Times
825,"Vodafone Idea seeks urgent listing of curative plea on AGR dues, CJI to take a call ",NaN, Moneycontrol
826,OpenAI whistleblowers ask SEC to investigate alleged restrictive non-disclosure agreements ,NaN, Reuters
827,"Swiggy Order Tracking Screen Shows Agent Followed By ""Ghost"", Internet Reacts ",NaN, NDTV Food
828,"India's trade deficit widens YoY to $20.98 bn in June; exports rise 2.6%, imports up 5% ",NaN, The Economic Times
829,"Share Market Highlights July 15, 2024: Sensex and Nifty reach new record highs on foreign fund inflows and strong SBI performance ",NaN, BusinessLine
830,"Discretionary spending has not picked up, says HCLTech CEO C Vijayakumar ",NaN, Moneycontrol
831,"L&T gearing up to tap $60-bn oil-to-chemicals opportunity in Middle East, says energy head ",NaN, Moneycontrol
832,Phillip Capital sees a 56% downside potential in IREDA shares as best value already priced in ,NaN, The Economic Times
833,Swiggy-Zomato platform fee hike: Deepak Shenoy says ‘happy to learn that I have reduced this ordering…’ ,Company Business News,Mint
834,Stock picks of the week: 5 stocks with consistent score improvement and upside potential of up to 41% ,NaN, The Economic Times
835,HUL to sell Pureit to AO Smith India for Rs 600 crore ,NaN, The Economic Times
836,"LIC-backed multibagger penny stock at Rs 72.80 hit 52-week high; Board announces raising of funds up to Rs 2705,14,48,500 by preferential issue ",NaN, Dalal Street Investment Journal
837,Tata Group to retain Air India's top management post-Vistara merger ,NaN, Business Standard
838,Apple’s India Sales Surge 33% to Record as China Shift Persists ,NaN, Bloomberg
